哎,āi,thán từ,哎，我忘记带钥匙了！
唉,āi,thán từ,唉，这个问题真难！
爱护,ài hù,"yêu thương, giữ gìn",我们要爱护环境。
爱惜,ài xī,quý trọng,他很爱惜自己的书。
爱心,ài xīn,lòng tốt,她有一颗善良的爱心。
安装,ān zhuāng,lắp đặt,我们正在安装新软件。
岸,àn,bờ,他站在河的对岸。
暗,àn,tối,房间里很暗。
熬夜,áo yè,thức đêm,他经常熬夜工作。
把握,bǎ wò,nắm chắc,我们要把握机会。
摆,bǎi,bày,他在桌上摆了很多书。
办理,bàn lǐ,làm (thủ tục),我需要办理签证。
傍晚,bàng wǎn,chiều muộn,我们傍晚去散步吧。
包裹,bāo guǒ,bưu kiện,你的包裹到了。
包含,bāo hán,bao hàm,这本书包含很多信息。
包括,bāo kuò,bao gồm,价格包括税金。
薄,báo,mỏng,这片面包很薄。
宝贝,bǎo bèi,bảo bối,他是我的小宝贝。
宝贵,bǎo guì,quí báu,时间非常宝贵。
保持,bǎo chí,duy trì,请保持安静。
保留,bǎo liú,bảo lưu,我们应该保留传统文化。
保险,bǎo xiǎn,bảo hiểm,你有健康保险吗？
报到,bào dào,điểm danh,新员工需要先报到。
报道,bào dào,"đưa tin, bản tin",新闻报道说...
报告,bào gào,báo cáo,他在会议上做了一个报告。
报社,bào shè,tòa soạn báo,他在报社工作。
抱怨,bào yuàn,trách móc,她经常抱怨工作太多。
背,bèi,"học thuộc, cõng",他背着一个大包。
悲观,bēi guān,bi quan,不要总是这么悲观。
背景,bèi jǐng,bối cảnh,这幅画的背景很美。
被子,bèi zi,chăn,天冷了，要盖好被子。
本科,běn kē,trình độ đại học,他刚刚完成本科课程。
本领,běn lǐng,bản lĩnh,他有很多本领。
本质,běn zhì,bản chất,我们要了解问题的本质。
比例,bǐ lì,tỉ lệ,图中的比例很重要。
彼此,bǐ cǐ,"lẫn nhau, với nhau",他们彼此帮助。
必然,bì rán,tất yếu,这是一个必然的结果。
必要,bì yào,"cần thiết, cần",这是一个必要的步骤。
避免,bì miǎn,tránh,我们要避免错误。
编辑,biān jí,biên tập,他是一本杂志的编辑。
鞭炮,biān pào,pháo,新年时我们放鞭炮。
便,biàn,liền,你便可以走了。
辩论,biàn lùn,biện luận,他们在辩论这个问题。
标点,biāo diǎn,dấu,请注意文章中的标点。
标志,biāo zhì,"đánh dấu, ký hiệu",这个标志很明显。
表达,biǎo dá,diễn đạt,请表达你的意见。
表面,biǎo miàn,"bề mặt, bề ngoài",不要只看表面。
表明,biǎo míng,cho thấy,他的话表明他很生气。
表情,biǎo qíng,biểu cảm,她的表情很开心。
表现,biǎo xiàn,biểu hiện,她的表现让大家都很满意。
冰淇淋,bīng qí lín,kem,冰淇淋是夏天的美食。
病毒,bìng dú,vi rút,这种病毒很危险，应该小心。
玻璃,bō lí,thủy tinh,玻璃窗可以让阳光透进来。
播放,bō fàng,phát sóng,播放音乐可以放松心情。
脖子,bó zi,cổ,他有一个很长的脖子。
博物馆,bó wù guǎn,bảo tàng,我们参观了博物馆。
补充,bǔ chōng,bổ sung,请补充这些信息。
不安,bú ān,bất an,他因为考试不安。
不断,bú duàn,không ngừng,这个问题需要不断解决。
不见得,bú jiàn dé,chưa chắc,结果不见得会更好。
不耐烦,bú nài fán,"chán nản, không kiên nhẫn",他对等待变得不耐烦了。
不然,bú rán,nếu không thì,快点，不然会迟到。
不如,bú rú,không bằng,这次会议不如上次好。
不要紧,bú yào jǐn,không quan trọng,这件事不要紧，慢慢来。
不足,bú zú,không đủ,他的收入不足以养活家庭。
布,bù,vải,这布料非常柔软。
步骤,bù zhòu,bước,这个步骤很复杂。
部门,bù mén,"ban ngành, bộ phận",我们部门的工作很忙。
财产,cái chǎn,tài sản,他们的财产都被保管得很好。
采访,cǎi fǎng,phỏng vấn,记者来采访了公司老板。
采取,cǎi qǔ,"chọn, dùng",我们采取了新的措施。
彩虹,cǎi hóng,cầu vồng,彩虹出现在雨后的天空中。
踩,cǎi,giẫm,小心不要踩到水。
参考,cān kǎo,tham khảo,这是一个很好的参考资料。
参与,cān yù,tham gia,我们需要参与这个项目。
惭愧,cán kuì,hổ thẹn,他对自己的表现感到惭愧。
操场,cāo chǎng,sân vận động,孩子们在操场上玩耍。
操心,cāo xīn,lo lắng,不用操心，事情会好的。
册,cè,"quyển, sổ",老师在我的纪念册上写了几句临别赠言。
测验,cè yàn,thí nghiệm,测验的结果让我很惊讶。
曾经,céng jīng,đã từng,我曾经去过那个城市。
叉子,chā zi,"cái dĩa, cái xiên, cái nĩa",请用叉子切蛋糕。
差距,chā jù,sự khác biệt,他们之间的差距很大。
插,chā,"cắm, chèn",你能把这些插入到报告中吗？
拆,chāi,"gỡ, dỡ",他拆开了那个包裹。
产品,chǎn pǐn,sản phẩm,这个产品的质量很好。
产生,chǎn shēng,"sản sinh, nảy sinh",这次谈话产生了很大的影响。
长途,cháng tú,đường dài,我们计划长途旅行。
常识,cháng shí,kiến thức cơ bản,这是一条常识的规则。
抄,chāo,chép,他抄了别人的作业。
超级,chāo jí,"siêu cấp, cực kỳ",这是一个超级大的市场。
朝,cháo,về hướng,我们朝着目标前进。
潮湿,cháo shī,ẩm ướt,空气有些潮湿。
吵,chǎo,ồn ào,外面的声音很吵。
吵架,chǎo jià,cãi vã,他们在街上吵架。
炒,chǎo,xào,炒菜时要加一些盐。
车库,chē kù,nhà xe,车库里停了两辆车。
车厢,chē xiāng,toa tàu,车厢里非常拥挤。
彻底,chè dǐ,triệt để,彻底清理房间是很重要的。
沉默,chén mò,im lặng,他在会议上保持沉默。
趁,chèn,nhân,"趁着年轻,我们要好好珍惜身边的一切!"
称,chēng,gọi là,我被大家称为“老李”。
称呼,chēng hū,xưng hô,请问怎么称呼呢？
称赞,chēng zàn,tán thưởng,她称赞了我的工作。
成分,chéng fèn,thành phần,这种食物的成分很简单。
成果,chéng guǒ,thành quả,我们取得了很好的成果。
成就,chéng jiù,thành tựu,他的努力带来了巨大的成就。
成立,chéng lì,thành lập,这个公司刚刚成立。
成人,chéng rén,người lớn,除了最小的女儿外，‌其他孩子都已成人。‌
成熟,chéng shú,thành thục,她非常成熟，处理问题很冷静。
成语,chéng yǔ,thành ngữ,这是一句成语，很有意思。
成长,chéng zhǎng,trưởng thành,孩子们在健康成长。
诚恳,chéng kěn,thành khẩn,他说话非常诚恳。
承担,chéng dān,chịu trách nhiệm,我们需要承担更多的责任。
承认,chéng rèn,thừa nhận,我承认我犯了错。
承受,chéng shòu,chịu đựng,他能够承受很大的压力。
程度,chéng dù,trình độ,这个问题的难度程度很高。
程序,chéng xù,trình tự,我们在程序中发现了一些错误。
吃亏,chī kuī,thiệt thòi,这次比赛我吃亏了。
池塘,chí táng,ao hồ,池塘里有很多鱼。
迟早,chí zǎo,sớm muộn,迟早我们会找到解决办法的。
持续,chí xù,"kéo dài, tiêp tục",这个问题需要持续关注。
尺子,chǐ zi,thước đo,请用尺子量一下长度。
翅膀,chì bǎng,cánh,小鸟的翅膀很漂亮。
冲,chōng,"xông, xô đẩy",他们在冲向终点。
充分,chōng fèn,đầy đủ,这个计划充分考虑了所有因素。
充满,chōng mǎn,tràn đầy,房间里充满了温暖的光线。
重复,chóng fù,lặp lại,这个任务需要重复几次。
宠物,chǒng wù,thú cưng,他有很多宠物，比如猫和狗。
抽屉,chōu tì,ngăn kéo,抽屉里放了很多文具。
抽象,chōu xiàng,trừu tượng,他的画儿风格很抽象。
丑,chǒu,xấu,那只狗的样子确实很丑。
臭,chòu,thối,这个地方的味道很臭。
出版,chū bǎn,xuất bản,这本书已经出版了。
出口,chū kǒu,"lối ra, cửa ra",这个港口是重要的出口。
出色,chū sè,xuất sắc,她的表现非常出色。
出示,chū shì,xuất trình,请出示你的身份证。
出席,chū xí,tham dự,每一次出席，都是对人生舞台的又一次征服。
初级,chū jí,sơ cấp,这是初级课程，非常简单。
除非,chú fēi,trừ phi,除非你告诉我，否则我不知道。
除夕,chú xī,giao thừa,我们在除夕晚上吃年夜饭。
处理,chǔ lǐ,xử lý,这个问题需要认真处理。
传播,chuán bō,"lan truyền, lây lan",这个消息通过网络传播很快。
传染,chuán rǎn,nhiễm,这种病很容易传染。
传说,chuán shuō,truyền thuyết,这是一个古老的传说。
传统,chuán tǒng,truyền thống,我们保持了传统的节日习俗。
窗帘,chuāng lián,rèm cửa,窗帘需要定期清洗。
闯,chuǎng,"xông vào, xông lên",他闯入了别人的房间。
创造,chuàng zào,sáng tạo,他们正在创造新的艺术作品。
吹,chuī,thổi,风吹得很大。
词汇,cí huì,từ vựng,学习新词汇对提高语言能力很重要。
辞职,cí zhí,"từ chức, bỏ việc",他决定辞职去找一个新的工作。
此外,cǐ wài,ngoài ra,他给了我一本书，一支钢笔，此外还给了我一些钱。
次要,cì yào,thứ yếu,这是次要的任务，可以先完成其他任务。
刺激,cì jī,kích thích,这个新闻刺激了市场。
匆忙,cōng máng,vội vàng,他匆忙地完成了任务。
从此,cóng cǐ,từ đó,从此以后，我就开始学习汉语了。
从而,cóng ér,cho nên,他得到了一份工作，从而改善了生活。
从前,cóng qián,từ trước,从前有一个美丽的村庄。
从事,cóng shì,theo đuổi,他从事于软件开发工作。
粗糙,cū cāo,thô ráp,这块木板的表面很粗糙。
促进,cù jìn,xúc tiến,他们的目标是促进国际合作。
促使,cù shǐ,thúc đẩy,这件事促使了他做出改变。
醋,cù,giấm,我喜欢在菜里加一点醋。
催,cuī,giục,他催大家快点完成工作。
存在,cún zài,tồn tại,这种现象在社会中存在很久了。
措施,cuò shī,"sách lược, chính sách",我们需要采取新的措施。
答应,dā yìng,"hứa, đồng ý",我答应会准时到达。
达到,dá dào,đạt đến,他终于达到了他的目标。
打工,dǎ gōng,làm thêm,他在餐馆打工。
打交道,dǎ jiāo dào,kết bạn,我们经常打交道。
打喷嚏,dǎ pēn tì,hắt xì,她打了一个喷嚏。
打听,dǎ tīng,hỏi thăm,我想打听一下他在哪里。
大方,dà fāng,phóng khoáng,她很大方，愿意帮助别人。
大厦,dà shà,tòa nhà,这座大厦很高。
大象,dà xiàng,voi,动物园里有一只大象。
大型,dà xíng,lớn (qui mô),这是一种大型的设备。
呆,dāi,"ở lì, ở",他看起来有点呆。
代表,dài biǎo,đại diện,他代表公司参加会议。
代替,dài tì,thay thế,我们需要找人代替他。
贷款,dài kuǎn,vay tiền,我们申请了一个贷款。
待遇,dài yù,đãi ngộ,他的待遇非常好。
担任,dān rèn,đảm nhiệm,她担任了项目经理。
单纯,dān chún,"đơn thuần,ngây thơ",他是一个单纯的人。
单调,dān diào,đơn điệu,这个房间的颜色很单调。
单独,dān dú,đơn độc,我想单独去旅行。
单位,dān wèi,đơn vị,这个单位有很多员工。
单元,dān yuán,"đơn nguyên, cụm",这本书分为五个单元。
耽误,dān wù,bỏ lỡ,这件事会耽误你的工作。
胆小鬼,dǎn xiǎo guǐ,kẻ nhát gan,他是一个胆小鬼。
淡,dàn,nhạt,这个颜色很淡。
当地,dāng dì,địa phương,我们要了解当地的风俗。
当心,dāng xīn,"để tâm, lưu tâm",慢点儿走，当心地上滑。
挡,dǎng,chắn,请挡住阳光。
导演,dǎo yǎn,đạo diễn,这部电影是由著名导演拍的。
导致,dǎo zhì,gây ra,这次错误导致了许多问题。
岛屿,dǎo yǔ,đảo,我们计划去那个岛屿旅行。
倒霉,dǎo méi,xui xẻo,他最近很倒霉。
到达,dào dá,đến,我们已经到达目的地。
道德,dào dé,đạo đức,道德是社会的基石。
道理,dào lǐ,"đạo lí, bài học",这个问题有一定的道理。
登记,dēng jì,đăng kí,请在这里登记。
等待,děng dài,"đợi, chờ đợi",我们正在等待他的回复。
等于,děng yú,bằng,一米等于一千毫米。
滴,dī,giọt,水滴从瓶子里落下来。
的确,dí què,"đúng, thật (phó từ)",的确这是个好主意。
敌人,dí rén,kẻ địch,我们的敌人正在进攻。
地道,dì dào,"chuẩn bản địa (ngôn ngữ, món ăn)",这条街道非常地道。
地理,dì lǐ,địa lý,地理课上，我们学了很多知识。
地区,dì qū,khu vực,这个地区很繁华。
地毯,dì tǎn,thảm,地毯上有很多污垢。
地位,dì wèi,địa vị,他在公司里地位很高。
地震,dì zhèn,động đất,这次地震造成了很多破坏。
递,dì,truyền,请把这封信递给她。
点心,diǎn xīn,điểm tâm,我喜欢吃点心。
电池,diàn chí,pin,这个电池需要更换。
电台,diàn tái,đài truyền hình,我们听到了电台的消息。
钓,diào,câu (cá),他喜欢钓鱼。
顶,dǐng,"đội, cái (lượng từ cho mũ)",这个山顶很高。
动画片,dòng huà piàn,phim hoạt hình,我喜欢看动画片。
冻,dòng,đông cứng,这个冬天特别冷，水都冻了。
洞,dòng,hang động,洞里很黑。
豆腐,dòu fǔ,đậu phụ,我吃了豆腐和蔬菜。
逗,dòu,trêu,他逗我玩。
独立,dú lì,độc lập,他们是一个独立的国家。
独特,dú tè,độc đáo,这件衣服的设计很独特。
度过,dù guò,"trải qua (thời kì, thời gian)",我们度过了一个愉快的假期。
断,duàn,"đoạn, đứt",不断的奋斗就是走上成功之路。
堆,duī,đống,桌子上堆满了书。
对比,duì bǐ,đối chiếu,我们可以对比这两个方案。
对待,duì dài,đối đãi,对待每个人都要公平。
对方,duì fāng,đối phương,对方的意见很有价值。
对手,duì shǒu,đối thủ,他们是强大的对手。
对象,duì xiàng,đối tượng,他的对象是一个演员。
兑换,duì huàn,đổi,我们需要兑换外币。
吨,dūn,tấn,这个箱子的重量是吨。
蹲,dūn,ngồi xổm,我们在公园里蹲下休息。
顿,dùn,bữa,他吃了一顿丰盛的晚餐。
多亏,duō kuī,may mà,多亏有你的帮助，我们才能完成项目。
多余,duō yú,thừa thãi,这个包有些多余的空间。
朵,duǒ,bông,她头上有一朵花。
躲藏,duǒ cáng,trốn,我们躲藏在树后面。
恶劣,è liè,"khắc nghiệt, hà khắc",这天气很恶劣。
耳环,ěr huán,khuyên tai,她戴着一对漂亮的耳环。
发表,fā biǎo,"phát biểu, đăng, ra mắt (tác phẩm)",他们在会议上发表了讲话。
发愁,fā chóu,"phát buồn, chán",他为自己的未来发愁。
发达,fā dá,"phát đạt, phát triển",发达的医疗体系能够为人们提供更好的医疗服务。
发抖,fā dǒu,run rẩy,她的手在发抖。
发挥,fā huī,phát huy,他的演讲发挥了最好的水平。
发明,fā míng,phát minh,这项发明非常有用。
发票,fā piào,hóa đơn giá trị gia tăng,请把发票给我。
发言,fā yán,phát biểu (ý kiến),他在会议上发言了。
罚款,fá kuǎn,phạt tiền,他因为迟到被罚款了。
法院,fǎ yuàn,tòa án,这个案件已经提交到法院了。
翻,fān,"lật, giở",请把这些纸翻一下。
繁荣,fán róng,phồn vinh,这个城市的经济很繁荣。
反而,fǎn ér,ngược lại,他反而喜欢待在家里。
反复,fǎn fù,lặp đi lặp lại,这句话要反复读几遍。
反应,fǎn yìng,phản ứng,他的反应很快。
反映,fǎn yìng,phản ánh,梦会反映现实。
反正,fǎn zhèng,dù sao thì,反正我们要按时完成任务。
范围,fàn wéi,phạm vi,这个问题的范围很广。
方,fāng,phương,方形的玻璃窗非常美丽。
方案,fāng àn,phương án,我们需要一个详细的方案。
方式,fāng shì,phương thức,这种方式更有效。
妨碍,fáng ài,"trở ngại, cản trở",他的行为妨碍了工作。
仿佛,fǎng fú,dường như,她的声音仿佛天使在歌唱。
非,fēi,"phi, không",我非得去那个地方不可。
肥皂,féi zào,bánh xà phòng,我们用肥皂洗手。
废话,fèi huà,lời nói thừa thãi,请不要说废话。
分别,fēn bié,"phân biệt, lần lượt, xa nhau",分别的时候总是让人感到悲伤。
分布,fēn bù,phân bố,这些植物在这个地区分布很广。
分配,fēn pèi,"chia sẻ, phân chia, phân công",我们需要合理分配资源。
分手,fēn shǒu,chia tay,他们决定分手。
分析,fēn xī,phân tích,他在分析数据。
纷纷,fēn fēn,lũ lượt,大家纷纷发表意见。
奋斗,fèn dòu,phấn đấu,我们需要为了未来奋斗。
风格,fēng gé,phong cách,她的风格很独特。
风景,fēng jǐng,phong cảnh,这个地方的风景很美。
风俗,fēng sú,phong tục,他们的风俗很有趣。
风险,fēng xiǎn,"mạo hiểm, hiểm nguy",这项投资有很高的风险。
疯狂,fēng kuáng,điên rồ,他对这部电影感到疯狂。
讽刺,fěng cì,châm biếm,这部小说有一些讽刺的元素。
否定,fǒu dìng,phủ định,他否定了所有的指责。
否认,fǒu rèn,phủ nhận,她完全否认了这个事实。
扶,fú,vịn,他在路上扶着我。
服装,fú zhuāng,"phục trang, quần áo",我们需要买新的服装。
幅,fú,bức (lượng từ cho tranh),这幅画儿很漂亮。
辅导,fǔ dǎo,"phụ đạo, bổ trợ",她需要额外的辅导。
妇女,fù nǚ,phụ nữ,妇女在社会中扮演重要的角色。
复制,fù zhì,copy,请复制这个文件。
改革,gǎi gé,cải cách,我们需要进行改革。
改进,gǎi jìn,cải tiến,他希望能改进工作流程。
改善,gǎi shàn,cải thiện,他们正在改善居住条件。
改正,gǎi zhèng,đính chính,我们需要改正错误。
盖,gài,"đậy, bao phủ",这一片区域都被盖上了高楼大厦。
概括,gài kuò,khái quát,文章的概括很简洁。
概念,gài niàn,khái niệm,这个概念很重要。
干脆,gān cuì,dứt khoát,他的发言非常干脆，没有一句多余的话。
干燥,gān zào,"khô ráo, khô hanh",干燥的空气使得火势很容易蔓延。
赶紧,gǎn jǐn,mau chóng,赶紧做完作业吧。
赶快,gǎn kuài,mau chóng,他赶快去看医生。
感激,gǎn jī,"cảm kích, biết ơn",我非常感激你的帮助。
感受,gǎn shòu,cảm nhận,我能感受你的情绪。
感想,gǎn xiǎng,"cảm tưởng, suy nghĩ",他的感想很有趣。
干活儿,gàn huó ér,lao động,我们一起干活儿吧。
钢铁,gāng tiě,sắt thép,钢铁是工业化进程中不可或缺的力量。
高档,gāo dàng,"cao cấp, đẳng cấp",这件礼服的设计显示出一种高档次的感觉。
高级,gāo jí,cao cấp,HSK6 级是高级水平。
搞,gǎo,làm,我们要搞好这个项目。
告别,gào bié,từ biệt,我们要告别这座城市。
格外,gé wài,đặc biệt,这个地方格外安静。
隔壁,gé bì,"sát vách, ngay cạnh",我们住在隔壁的房子。
个别,gè bié,cá biệt,个别情况可能会有所不同。
个人,gè rén,cá nhân,每个人都有自己的个人喜好和兴趣。
个性,gè xìng,cá tính,他是一个非常有个性的人。
各自,gè zì,"tự, mỗi",各自负责自己的任务。
根,gēn,"lượng từ: sợi, cành, khúc, ngón",你记得帮我买几根葱哦。
根本,gēn běn,vốn,这个问题根本解决不了。
工厂,gōng chǎng,"xưởng, xí nghiệp",工厂正在扩大生产规模。
工程师,gōng chéng shī,kỹ sư,他是一名工程师。
工具,gōng jù,công cụ,我们需要一些工具来修理。
工人,gōng rén,công nhân,工人们正在加班。
工业,gōng yè,công nghiệp,这个产品是我们工业的代表。
公布,gōng bù,công bố,公司公布了新的政策。
公开,gōng kāi,công khai,这个信息已经公开了。
公平,gōng píng,công bằng,我们需要公平对待每个人。
公寓,gōng yù,chung cư,她住在一个公寓里。
公元,gōng yuán,công nguyên,公元前五世纪的历史很有趣。
公主,gōng zhǔ,công chúa,她是一个美丽的公主。
功能,gōng néng,công năng,这个软件的功能很强大。
恭喜,gōng xǐ,chúc mừng,恭喜你获得了奖项。
贡献,gòng xiàn,cống hiến,他的贡献很大。
沟通,gōu tōng,"trao đổi, thấu hiểu",我们需要有效沟通。
构成,gòu chéng,"tạo thành, cấu thành",这些部分构成了整个项目。
姑姑,gū gu,cô,我去姑姑家玩。
姑娘,gū niang,cô gái,这位姑娘很友好。
古代,gǔ dài,cổ đại,古代的建筑风格很有特色。
古典,gǔ diǎn,cổ điển,他喜欢古典音乐。
股票,gǔ piào,cổ phiếu,我们需要研究股票市场。
骨头,gǔ tou,xương,这个骨头很硬。
鼓舞,gǔ wǔ,cổ vũ,他的演讲鼓舞了大家。
鼓掌,gǔ zhǎng,vỗ tay,大家为他鼓掌。
固定,gù dìng,cố định,这张桌子是固定的。
挂号,guà hào,xếp số,请挂号后再进入。
乖,guāi,ngoan,她的行为很乖。
拐弯,guǎi wān,rẽ,车子在路上拐弯了。
怪不得,guài bù dé,chẳng trách,怪不得她这么高兴。
关闭,guān bì,đóng,他们决定关闭公司。
观察,guān chá,quan sát,我们需要观察市场趋势。
观点,guān diǎn,quan điểm,他有自己独特的观点。
观念,guān niàn,quan niệm,这是一个新的观念。
官,guān,quan,他是一位官员。
管子,guǎn zi,cái ống,我们需要买一些管子。
冠军,guàn jūn,quán quân,他赢得了冠军。
光滑,guāng huá,bóng mượt,这条地毯很光滑。
光临,guāng lín,"đến, có mặt",欢迎光临我们的商店。
光明,guāng míng,"quang minh, sáng sủa",早晨的阳光照亮了大地，给予我们光明的希望。
光盘,guāng pán,"đĩa CD, VCD,DVD",我们买了一张光盘。
广场,guǎng chǎng,quảng trường,广场上有很多人。
广大,guǎng dà,"quảng đại, rộng lớn",这个地区很广大。
广泛,guǎng fàn,rộng khắp,这本书的内容很广泛。
归纳,guī nà,tóm tắt,我们需要归纳总结信息。
规矩,guī ju,qui tắc,他遵守了所有的规矩。
规律,guī lǜ,qui luật,这个问题的规律很复杂。
规模,guī mó,qui mô,公司的规模不断扩大。
规则,guī zé,nội qui,我们需要遵守规则。
柜台,guì tái,"quầy ba, quầy",请到柜台办理手续。
滚,gǔn,"cút, cuộn, lăn",球从桌子上滚下来。
锅,guō,nồi,我们用锅来煮汤。
国庆节,guó qìng jié,quốc khánh,国庆节是中国的重要节日。
国王,guó wáng,quốc vương,国王住在宏伟的宫殿里。
果然,guǒ rán,quả nhiên,他果然赢得了比赛。
果实,guǒ shí,quả thật,这个果实很甜。
过分,guò fèn,quá đáng,他的要求有点过分。
过敏,guò mǐn,"mẫn cảm, dị ứng",我对某些食物有过敏反应。
过期,guò qī,quá hạn,这个食品已经过期了。
哈,hā,ha ha,哈，你说得对。
海关,hǎi guān,hải quan,他在海关工作。
海鲜,hǎi xiān,hải sản,我们今晚吃海鲜。
喊,hǎn,hét,他在广场上喊叫。
行业,háng yè,ngành nghề,这个行业很有前景。
豪华,háo huá,sang trọng,他的车很豪华。
好客,hào kè,hiếu khách,她是个很热情好客的人。
好奇,hào qí,hiếu kì,他对一切都感到好奇。
合法,hé fǎ,hợp pháp,这个公司的运作是合法的。
合理,hé lǐ,hợp lý,这些建议很合理。
合同,hé tóng,hợp đồng,我们签订了合同。
合影,hé yǐng,"chụp ảnh chung, chụp ảnh tập thể",这张合影很有意义。
合作,hé zuò,hợp tác,我们需要合作完成这个项目。
何必,hé bì,hà tất,何必那么着急？
何况,hé kuàng,"huống hồ, hơn nữa",何况天气很糟糕。
和平,hé píng,hòa bình,我们希望和平解决问题。
核心,hé xīn,trọng tâm,这个问题是核心问题。
恨,hèn,hận,好像他还恨我。
猴子,hóu zi,khỉ,猴子在树上玩耍。
后背,hòu bèi,phía sau,他感到后背很疼。
后果,hòu guǒ,hậu quả,他的后果很严重。
呼吸,hū xī,hít thở,我们需要注意呼吸。
忽然,hū rán,bỗng nhiên,天气忽然变冷了。
忽视,hū shì,"không coi trọng (kinh tế, ngành nghề, vấn đề nhỏ, nghiên cứu)",不要忽视这个细节。
胡说,hú shuō,nói nhăng quậy,他总是胡说八道。
胡同,hú tòng,"ngõ, hẻm",胡同里很安静。
壶,hú,"bình, ấm",我们用壶煮水。
蝴蝶,hú dié,con bướm,蝴蝶在花丛中飞舞。
糊涂,hú tú,hồ đồ,他总是糊涂的。
花生,huā shēng,"lạc, đậu phộng",我喜欢吃花生。
划,huá,chèo (thuyền),划船是一种很好的锻炼。
华裔,huá yì,hoa kiều,他是华裔美国人。
滑,huá,"trượt, trơn",地板很滑，注意不要摔倒。
化学,huà xué,hóa học,我在学化学。
话题,huà tí,chủ đề,我们讨论了很多话题。
怀念,huái niàn,hoài niệm,我很怀念我的家乡。
怀孕,huái yùn,mang bầu,她怀孕了，正在休息。
缓解,huǎn jiě,"thả lỏng, giảm",运动可以缓解压力。
幻想,huàn xiǎng,"ảo tưởng, giả tưởng",他的幻想很丰富。
慌张,huāng zhāng,"hoảng sợ, rối rắm, rối",她在面试中感到很慌张。
黄金,huáng jīn,vàng,这块黄金很重。
灰,huī,màu xám,天空变成了灰色。
灰尘,huī chén,tro bụi,桌子上有一层灰尘。
灰心,huī xīn,nản lòng,他对失败感到灰心。
挥,huī,vẫy,她挥手告别了大家。
恢复,huī fù,"hồi phục, khôi phục",我们需要恢复体力。
汇率,huì lǜ,tỷ giá,当前的汇率非常不稳定。
婚礼,hūn lǐ,hôn lễ,她正在准备婚礼。
婚姻,hūn yīn,hôn nhân,他们的婚姻很幸福。
活跃,huó yuè,sôi nổi,他在工作中非常活跃。
火柴,huǒ chái,diêm,我们需要买一些火柴。
伙伴,huǒ bàn,bạn đồng hành,他是我的好伙伴。
或许,huò xǔ,có lẽ,或许明天会有好天气。
机器,jī qì,máy móc,这台机器很先进。
肌肉,jī ròu,cơ bắp,他在锻炼肌肉。
基本,jī běn,"cơ bản, căn bản",这是一个基本的技能。
激烈,jī liè,"khốc liệt, kịch liệt",比赛非常激烈。
及格,jí gé,đạt điểm qua,他考试及格了。
极其,jí qí,cực kì,这种情况极其罕见。
急忙,jí máng,vội vàng,他急忙赶到医院。
急诊,jí zhěn,cấp cứu,她去急诊室看病。
集合,jí hé,tập hợp,我们在操场上集合。
集体,jí tǐ,tập thể,这是一个集体活动。
集中,jí zhōng,tập trung,大家集中注意力听讲。
计算,jì suàn,tính toán,我们需要计算总花费。
记录,jì lù,ghi chép,请记录你的进展。
记忆,jì yì,ký ức,他的记忆力很好。
纪录,jì lù,kỷ lục,这本书是一个历史纪录。
纪律,jì lǜ,kỷ luật,他严格遵守纪律。
纪念,jì niàn,kỉ niệm,我们一起纪念这个特别的日子。
