Hanzi,Pinyin,Meaning
你,nǐ,"anh, chị, bạn, ông, bà..."
好,hǎo,"tốt, đẹp, hay, ngon..."
老师,lǎoshī,"thầy giáo, cô giáo"
您,nín,"ông, bà, cô, chú... (kính trọng)"
你们,nǐmen,"các ông, các bà, các bạn..."
们,men,hậu tố đặt sau đại từ/danh từ (số nhiều)
叫,jiào,"gọi, tên là"
什么,shénme,"gì, cái gì"
名字,míngzi,tên
我,wǒ,tôi
呢,ne,trợ từ ngữ khí
是,shì,là
哪,nǎ,nào
国,guó,"quốc gia, nước"
人,rén,người
他,tā,anh ấy
请问,qǐngwèn,xin hỏi
问,wèn,hỏi
贵姓,guìxìng,"quý danh, quý tính"
贵,guì,quý
姓,xìng,họ
这,zhè,này
的,de,trợ từ biểu thị sự sở hữu
名片,míngpiàn,danh thiếp
对不起,duìbuqǐ,xin lỗi
没有,méiyǒu,không có
有,yǒu,có
没关系,méi guānxi,"không sao, không có gì"
很,hěn,rất
高兴,gāoxìng,vui mừng
认识,rènshi,quen biết
先生,xiānsheng,"ngài, ông"
也,yě,cũng
吗,ma,từ dùng ở cuối câu hỏi
不,bù,không
小姐,xiǎojiě,"tiểu thư, cô, em"
师傅,shīfu,"sư phụ, thầy"
去,qù,đi
哪儿/哪里,nǎr/nǎli,"đâu, ở đâu"
人民,rénmín,nhân dân
广场,guǎngchǎng,quảng trường
知道,zhīdào,biết
了,le,rồi
远,yuǎn,xa
近,jìn,gần
到,dào,"đến, tới"
多少,duōshao,bao nhiêu
钱,qián,tiền
块,kuài,đồng (lượng từ)
谢谢,xièxie,cảm ơn
不客气,bú kèqi,"không có gì, đừng khách sáo"
客气,kèqi,khách sáo
再见,zàijiàn,tạm biệt
再,zài,lại
要,yào,"muốn, cần, phải"
吃,chī,ăn
(一)点儿,(yì)diǎnr,"một chút, một ít"
个,gè,"cái, chiếc, suất"
牛肉,niúròu,thịt bò
青菜,qīngcài,rau xanh
还,hái,còn
两,liǎng,hai
碗,wǎn,bát
米饭,mǐfàn,cơm
快,kuài,nhanh
饿,è,đói
喝,hē,uống
杯,bēi,"cốc, ly"
奶茶,nǎichá,trà sữa
茶,chá,trà
大,dà,"to, lớn"
还是,háishi,hay là
小,xiǎo,"nhỏ, bé"
咖啡,kāfēi,cà phê
一共,yígòng,"tất cả, tổng cộng"
在,zài,"ở, tại"
工作,gōngzuò,"làm việc, công việc"
苹果,píngguǒ,quả táo
公司,gōngsī,công ty
留学生,liúxuéshēng,lưu học sinh
学生,xuésheng,"học sinh, sinh viên"
这儿/这里,zhèr/zhèli,ở đây
学习,xuéxí,học tập
学,xué,học
汉语,Hànyǔ,tiếng Hán
对,duì,đúng
男朋友,nánpéngyou,bạn trai
男,nán,nam
朋友,péngyou,bạn bè
做,zuò,làm
大学,dàxué,đại học
教,jiāo,dạy
英语,Yīngyǔ,tiếng Anh
女朋友,nǚpéngyou,bạn gái
女,nǚ,nữ
她,tā,"bạn, chị, cô ấy"
中学,zhōngxué,trung học
附近,fùjìn,"gần đây, lân cận"
银行,yínháng,ngân hàng
家,jiā,lượng từ cho cửa hàng
从,cóng,từ
往,wǎng,"đi đến, hướng tới"
前,qián,phía trước
走,zǒu,đi
然后,ránhòu,sau đó
左,zuǒ,bên trái
拐,guǎi,rẽ
饭店,fàndiàn,"nhà hàng, quán ăn"
就,jiù,"ngay, chính là"
对面,duìmiàn,đối diện
面,miàn,"bên, phía"
书店,shūdiàn,nhà sách
超市,chāoshì,siêu thị
右,yòu,bên phải
今天,jīntiān,hôm nay
真,zhēn,thật là
漂亮,piàoliang,"đẹp, xinh đẹp"
事,shì,"việc, vấn đề"
生日,shēngrì,sinh nhật
几,jǐ,mấy
号,hào,ngày
月,yuè,tháng
快乐,kuàilè,"vui vẻ, hạnh phúc"
星期五,xīngqīwǔ,thứ sáu
星期,xīngqī,tuần
有空儿,yǒu kòngr,rảnh rỗi
空儿,kòngr,thời gian rảnh
想,xiǎng,"muốn, suy nghĩ"
请,qǐng,mời
晚饭,wǎnfàn,bữa tối
为什么,wèi shénme,tại sao
太...了,tài...le,quá
那,nà,"vậy, vậy thì"
晚上,wǎnshang,buổi tối
看,kàn,"nhìn, xem"
电影,diànyǐng,phim
学校,xuéxiào,trường học
见,jiàn,gặp
喜欢,xǐhuan,thích
非常,fēicháng,"rất, cực kỳ"
都,dōu,đều
明天,míngtiān,ngày mai
电影院,diànyǐngyuàn,rạp chiếu phim
怎么,zěnme,thế nào
坐,zuò,ngồi
地铁,dìtiě,tàu điện ngầm
出租车,chūzūchē,xe taxi
吧,ba,trợ từ gọi ý/phỏng đoán
又...又...,yòu...yòu...,vừa... vừa...
又,yòu,"vừa, lại"
便宜,piányi,rẻ
怎么样,zěnmeyàng,thế nào
菜,cài,"đồ ăn, món ăn"
有名,yǒu míng,nổi tiếng
那儿/那里,nàr/nàli,ở đó
好吃,hǎochī,ngon
走路,zǒu lù,đi bộ
公交车,gōngjiāochē,xe buýt
口,kǒu,lượng từ (người trong gia đình)
爸爸,bàba,bố
妈妈,māma,mẹ
弟弟,dìdi,em trai
妹妹,mèimei,em gái
照片,zhàopiàn,ảnh
律师,lǜshī,luật sư
和,hé,và
今年,jīnnián,năm nay
多大,duō dà,bao nhiêu tuổi
岁,suì,tuổi
家人,jiārén,người nhà
他们,tāmen,họ
们,men,hậu tố đại từ số nhiều
谁,shéi,ai
哥哥,gēge,anh trai
姐姐,jiějie,chị gái
只,zhī,con (lượng từ)
狗,gǒu,con chó
可爱,kě'ài,dễ thương
医生,yīshēng,bác sĩ
在,zài,đang
正在,zhèngzài,đang
正,zhèng,đang
听,tīng,nghe
音乐,yīnyuè,"âm nhạc, nhạc"
好听,hǎotīng,"êm tai, nghe hay"
一边……，一边……,"yìbiān..., yìbiān...",vừa... vừa...
唱歌,chàng gē,hát (bài hát)
唱,chàng,hát
歌,gē,bài hát
只,zhǐ,chỉ
常常,chángcháng,thường xuyên
常,cháng,thường
行,xíng,"được, đồng ý"
下次,xià cì,lần sau
次,cì,lần
平时,píngshí,"thường ngày, bình thường"
打球,dǎ qiú,"chơi bóng, đánh bóng"
打,dǎ,đánh
球,qiú,bóng
电视,diànshì,tivi
跳舞,tiào wǔ,"nhảy múa, khiêu vũ"
跳,tiào,nhảy
舞,wǔ,"điệu múa, điệu nhảy"
街舞,jiēwǔ,hip-hop
别人,biérén,người khác
篮球,lánqiú,bóng rổ
周末,zhōumò,cuối tuần
一起,yìqǐ,cùng nhau
下个,xià gè,... sau/tiếp theo
现在,xiànzài,"bây giờ, lúc này, hiện tại"
点（钟）,diǎn (zhōng),giờ
半,bàn,"rưỡi, nửa"
刻,kè,15 phút
分,fēn,phút
上课,shàngkè,lên lớp
课,kè,tiết học
下课,xiàkè,tan học
中午,zhōngwǔ,buổi trưa
或者,huòzhě,hoặc là
学校,xuéxiào,trường học
门口,ménkǒu,"cổng, cửa"
起床,qǐchuáng,thức dậy
有时候,yǒu shíhou,"có lúc, thỉnh thoảng"
有时,yǒushí,có lúc
左右,zuǒyòu,khoảng
每天,měitiān,hàng ngày
这么,zhème,"thế, thế này"
早,zǎo,sớm
睡觉,shuìjiào,ngủ
睡,shuì,ngủ
因为,yīnwèi,bởi vì
晚,wǎn,muộn
可以,kěyǐ,có thể
给,gěi,cho
打电话,dǎ diànhuà,gọi điện thoại
电话,diànhuà,cuộc điện thoại
可是,kěshì,nhưng
号码,hàomǎ,"số, mã số"
号,hào,số
手机,shǒujī,điện thoại di động
等,děng,"chờ, đợi"
一下,yíxià,"một chút, một chốc, một lát"
支,zhī,"lượng từ (dùng cho bút, thuốc lá...)"
笔,bǐ,bút
写,xiě,viết
慢,màn,chậm
说,shuō,nói
遍,biàn,lần (lượng từ dùng cho hành động)
用,yòng,dùng
电脑,diànnǎo,máy tính
对了,duìle,đúng rồi
借,jiè,mượn
电,diàn,điện
没问题,méi wèntí,không vấn đề
找,zhǎo,tìm
买,mǎi,mua
衣服,yīfu,quần áo
件,jiàn,"chiếc, cái (dùng cho quần áo)"
衬衫,chènshān,áo sơ mi
色,sè,màu
颜色,yánsè,màu sắc
黑,hēi,đen
蓝,lán,xanh da trời
红,hóng,đỏ
试,shì,thử
穿,chuān,mặc
号,hào,"cỡ, kích cỡ (size)"
觉得,juéde,cảm thấy
合适,héshì,"hợp, phù hợp"
不太,bú tài,"không quá, không ... lắm"
双,shuāng,đôi
鞋,xié,giày
贵,guì,đắt
大小,dàxiǎo,"kích cỡ, to nhỏ"
不错,búcuò,tốt
喂,wèi,alo
位,wèi,lượng từ (để chỉ người trong trường hợp trang trọng)
忙,máng,"bận, bận rộn"
有点儿,yǒudiǎnr,hơi... một chút
考试,kǎoshì,"kiểm tra, thi"
HSK,HSK,Kì thi năng lực Hán ngữ
帮,bāng,giúp đỡ
准备,zhǔnbèi,chuẩn bị
时候,shíhou,"lúc, khi"
跟,gēn,"cùng, với"
上午,shàngwǔ,buổi sáng
下午,xiàwǔ,buổi chiều
参加,cānjiā,tham gia
比赛,bǐsài,cuộc thi
图书馆,túshūguǎn,thư viện
难,nán,khó
昨天,zuótiān,hôm qua
东西,dōngxi,đồ vật
旅行,lǚxíng,du lịch
不好意思,bù hǎoyìsi,"xin lỗi, xấu hổ"
上个,shàng gè,trước
了,le,"(biểu thị sự việc đã kết thúc, xảy ra)"
一些,yìxiē,"một số, một vài"
参观,cānguān,tham quan
博物馆,bówùguǎn,viện bảo tàng
公园,gōngyuán,công viên
非常,fēicháng,"vô cùng, rất"
门票,ménpiào,vé vào cổng
票,piào,vé
累,lèi,"mệt, mệt mỏi"
看上去,kàn shàngqù,nhìn có vẻ
好玩儿,hǎowánr,"vui, thú vị"
风景,fēngjǐng,phong cảnh
美,měi,đẹp
空气,kōngqì,không khí
拍,pāi,"chụp, quay (ảnh, video)"
里,lǐ,bên trong
本,běn,quyển (lượng từ của sách)
真,zhēn,"thật, thật là"
爱,ài,"thích, yêu"
听说,tīngshuō,nghe nói
玩儿,wánr,chơi
告诉,gàosu,nói với
微信,wēixìn,wechat
忘,wàng,"quên, quên mất"
哈哈,hāhā,ha ha
当然,dāngrán,đương nhiên
有意思,yǒu yìsi,"thú vị, hay"
骑,qí,lái/đi (xe đạp)
自行车,zìxíngchē,xe đạp
多长,duō cháng,bao lâu
时间,shíjiān,thời gian
小时,xiǎoshí,giờ
行,xíng,"được, tốt"
张,zhāng,"tờ (lượng từ cho mặt phẳng như giấy, ảnh...)"
好看,hǎokàn,"đẹp, đẹp mắt"
自己,zìjǐ,"bản thân, tự mình"
最近,zuìjìn,"gần đây, dạo này"
去年,qùnián,năm ngoái
年,nián,năm
法国,Fǎguó,nước Pháp
对,duì,"đúng, vâng (xác nhận thông tin)"
回,huí,"về, quay về"
回来,huílái,quay về
会,huì,"biết, có thể"
做菜,zuò cài,nấu ăn
水果,shuǐguǒ,hoa quả
沙拉,shālā,sa-lát
酒,jiǔ,rượu
瓶,píng,"bình, chai"
哪里,nǎlǐ,"đâu có, không dám"
尝,cháng,nếm thử
聪明,cōngming,thông minh
外语,wàiyǔ,ngoại ngữ
除了…… 以外,chúle... yǐwài,ngoài... ra
日语,Rìyǔ,tiếng Nhật
真的,zhēnde,thật
好喝,hǎohē,ngon (đồ uống)
法语,Fǎyǔ,tiếng Pháp
打算,dǎsuàn,dự định
已经,yǐjīng,đã
地方,dìfang,"địa điểm, nơi, địa phương"
建议,jiànyì,"(lời) khuyên, đề nghị, xuất (nên làm gì đó)"
过,guo,qua (trạng thái đã hoàn thành)
熊猫,xióngmāo,gấu trúc
功夫熊猫,Gōngfu Xióngmāo,Kungfu Panda (gấu trúc Kungfu)
郊区,jiāoqū,ngoại thành
动物园,dòngwùyuán,sở thú
动物,dòngwù,động vật
……极了,...jí le,"vô cùng..., rất..., cực kì..."
对……感兴趣,duì...gǎn xìngqù,hứng thú với
对,duì,đối với
感,gǎn,"cảm thấy, cảm giác"
兴趣,xìngqù,"hứng thú, thú vị"
的话,dehuà,"nếu, nếu như..."
约会,yuēhuì,"hẹn hò, buổi hẹn hò"
遗憾,yíhàn,"tiếc, tiếc nuối"
市中心,shìzhōngxīn,trung tâm thành phố
感谢,gǎnxiè,cảm ơn
烤鸭,kǎoyā,vịt quay
味道,wèidao,hương vị
肚子,dùzi,bụng
做客,zuòkè,làm khách
敲门,qiāo mén,gõ cửa
欢迎,huānyíng,chào đón
爱人,àiren,"vợ, chồng"
女儿,nǚ'ér,con gái
儿子,érzi,con trai
出去,chū qù,ra ngoài
孩子,háizi,con cái
添麻烦,tiān máfan,làm phiền
添,tiān,thêm
麻烦,máfan,phiền phức
别,bié,đừng
客气,kèqi,khách sáo
饭,fàn,"cơm, bữa ăn"
辛苦,xīnkǔ,vất vả
麻婆豆腐,mápódòufu,đậu phụ Tứ Xuyên
辣,là,cay
怕,pà,sợ
糖醋鱼,tángcùyú,cá sốt chua ngọt
酸,suān,chua
甜,tián,ngọt
北方,běifāng,miền Bắc
南方,nánfāng,miền Nam
老家,lǎojiā,quê nhà
城市,chéngshì,thành phố
农村,nóngcūn,nông thôn
环境,huánjìng,môi trường
一定,yídìng,"nhất định, chắc chắn"
北边,běibian,phía bắc
山,shān,núi
东边,dōngbian,phía đông
西边,xībian,phía tây
田野,tiányě,đồng ruộng
新鲜,xīnxiān,"trong lành, tươi"
离,lí,cách
交通,jiāotōng,giao thông
方便,fāngbiàn,"tiện lợi, thuận tiện"
小学,xiǎoxué,tiểu học
热闹,rènao,nhộn nhịp
商店,shāngdiàn,cửa hàng
新,xīn,mới
生活,shēnghuó,cuộc sống; sinh sống
站,zhàn,"trạm, bến, ga"
刚（刚）,gāng (gāng),"vừa, vừa mới"
介绍,jièshào,giới thiệu
得,děi,phải
卡,kǎ,"thẻ, card"
需要,xūyào,cần
充值,chōng zhí,nạp tiền (điện thoại)
一……就……,yī...jiù...,"vừa... liền, hễ... là"
上网,shàng wǎng,lên mạng
种,zhǒng,loại
能,néng,có thể
容易,róngyì,"dễ, dễ dàng"
服务,fúwù,phục vụ
担心,dānxīn,lo lắng
微信,wēixìn,wechat
下,xià,tiếp theo
注册,zhù cè,đăng ký
发,fā,gửi
手写,shǒuxiě,viết tay
输入法,shūrūfǎ,cách nhập liệu
应该,yīnggāi,"nên, cần"
第,dì,thứ... (biểu thị thứ tự)
医院,yīyuàn,bệnh viện
看病,kàn bìng,khám bệnh
舒服,shūfu,"dễ chịu, thoải mái"
头疼,tóuténg,đau đầu
头,tóu,đầu
疼,téng,đau
发烧,fā shāo,sốt
感冒,gǎnmào,"cảm, cúm"
量,liáng,đo
体温,tǐwēn,nhiệt độ cơ thể
高,gāo,cao
度,dù,độ
打针,dǎ zhēn,tiêm
药,yào,thuốc
胃口,wèikǒu,cảm giác muốn ăn
拉肚子,lā dùzi,tiêu chảy
洗手间,xǐshǒujiān,nhà vệ sinh
牛奶,niúnǎi,sữa bò
蛋糕,dàngāo,bánh gato
可能,kěnéng,"có thể, có lẽ"
先,xiān,trước
休息,xiūxi,nghỉ ngơi
白天,báitiān,ban ngày
聚会,jùhuì,"tụ họp, họp mặt"
同学,tóngxué,bạn học
带,dài,"dẫn, đem"
教室,jiàoshì,lớp học
短信,duǎnxìn,tin nhắn
请客,qǐng kè,mời
礼尚往来,lǐshàngwǎnglái,có qua có lại
人气,rénqì,tiếng tăm
预约,yùyuē,"hẹn trước, đặt trước"
清楚,qīngchu,"rõ, rõ ràng"
问,wèn,hỏi
客人,kèrén,khách hàng
老,lǎo,cũ
AA制,AA zhì,tiền ai nấy trả
语伴,yǔbàn,bạn cùng học ngoại ngữ
马上,mǎshàng,"ngay, lập tức"
习惯,xíguàn,quen; thói quen
还是,háishi,vẫn
以前,yǐqián,"trước khi, trước đây"
但是,dànshì,nhưng
讨价还价,tǎojià-huánjià,mặc cả
跑步,pǎo bù,chạy bộ
以后,yǐhòu,"sau khi, sau này"
越来越,yuèláiyuè,càng ngày càng
胖,pàng,"mập, béo"
坏,huài,"xấu, hỏng"
瘦,shòu,gầy
最,zuì,nhất
懒,lǎn,lười
努力,nǔlì,"chăm chỉ, nỗ lực"
进步,jìnbù,tiến bộ
了解,liǎojiě,hiểu
同屋,tóngwū,bạn cùng phòng
踢,tī,đá
足球,zúqiú,bóng đá
不过,búguò,"nhưng, tuy nhiên"
比较,bǐjiào,"khá, tương đối"
样子,yàngzi,"hình dáng, kiểu"
个子,gèzi,dáng người
眼睛,yǎnjing,mắt
皮肤,pífū,da
白,bái,trắng
头发,tóufa,tóc
长,cháng,dài
黄,huáng,vàng
长,zhǎng,"lớn lên, mọc lên"
详细,xiángxì,"chi tiết, kĩ càng"
巧,qiǎo,"trùng hợp, khéo léo"
T恤,T xù,"áo thun, áo phông"
矮,ǎi,"lùn, thấp"
帅,shuài,đẹp trai
就,jiù,"đã, liền"
一般,yìbān,thông thường
打的,dǎ dī,gọi taxi
公交卡,gōngjiāokǎ,thẻ xe buýt
刷,shuā,quẹt
入口,rùkǒu,lối vào
办,bàn,làm
自动,zìdòng,tự động
售票机,shòupiàojī,máy bán vé
投入,tóurù,"bỏ vào, thả vào"
硬币,yìngbì,tiền xu
……的时候,...de shíhòu,"khi..., lúc..."
扶梯,fútī,thang cuốn
电梯,diàntī,thang máy
年轻人,niánqīng rén,"bạn trẻ, thanh niên"
年轻,niánqīng,trẻ
老人,lǎorén,người già
前门,qiánmén,cửa trước
后门,hòumén,cửa sau
挤,jǐ,"đông đúc, chen lấn"
家教,jiājiào,gia sư
学费,xuéfèi,học phí
费,fèi,phí
意思,yìsi,"nghĩa, ý nghĩa"
互相,hùxiāng,lẫn nhau
要求,yāoqiú,yêu cầu
普通话,pǔtōnghuà,tiếng phổ thông
标准,biāozhǔn,"chuẩn, tiêu chuẩn"
结果,jiéguǒ,kết quả
拉二胡,lā èrhú,kéo đàn nhị
二胡,èrhú,đàn nhị
付,fù,"trả, thanh toán"
演奏,yǎnzòu,"diễn tấu, biểu diễn"
特别,tèbié,đặc biệt
把,bǎ,chiếc
礼物,lǐwù,món quà
熟人,shúrén,người quen
消息,xiāoxi,"tin tức, thông tin"
天气,tiānqì,thời tiết
一样,yíyàng,như nhau
差不多,chàbuduō,"gần giống nhau, tương tự"
夏天,xiàtiān,mùa hè
热,rè,nóng
冬天,dōngtiān,mùa đông
冷,lěng,lạnh
春天,chūntiān,mùa xuân
暖和,nuǎnhuo,ấm áp
秋天,qiūtiān,mùa thu
凉快,liángkuai,mát mẻ
下雪,xià xuě,tuyết rơi
雪,xuě,tuyết
比,bǐ,hơn
温度,wēndù,nhiệt độ
左右,zuǒyòu,khoảng
低,dī,thấp
预报,yùbào,dự báo
更,gèng,"càng, hơn"
刮,guā,thổi (gió)
台风,táifēng,bão
下雨,xià yǔ,trời mưa
雨,yǔ,mưa
迷,mí,"người hâm mộ, ""fan"""
世界杯,shìjièbēi,World Cup
转播,zhuǎnbò,"tiếp sóng, chuyển tiếp"
队,duì,đội
精彩,jīngcǎi,"đặc sắc, hấp dẫn"
赢,yíng,thắng
实力,shílì,thực lực
强,qiáng,mạnh
输,shū,thua
技术,jìshù,kỹ thuật
房间,fángjiān,phòng
结束,jiéshù,kết thúc
比,bǐ,tỉ số trận đấu
机会,jīhuì,cơ hội
运气,yùnqì,"may mắn, vận may"
紧张,jǐnzhāng,"căng thẳng, hồi hộp"
加油,jiā yóu,"cố gắng, cổ vũ"
放假,fàng jià,nghỉ lễ
假,jià,kỳ nghỉ
节日,jiérì,"lễ, tết"
有的,yǒude,có... (phía sau thường đi với danh từ)
比如,bǐrú,ví dụ
开始,kāishǐ,"bắt đầu, sự khởi đầu"
请假,qǐng jià,xin nghỉ
结婚,jié hūn,"kết hôn, cưới"
热情,rèqíng,nhiệt tình
开车,kāi chē,lái xe (ô tô)
开,kāi,lái (xe)
车,chē,xe
辆,liàng,chiếc (lượng từ chỉ xe cộ)
带,dài,mang
高速公路,gāosù gōnglù,đường cao tốc
堵,dǔ,"tắc, kẹt"
一会儿,yíhuìr,"một lúc, một lát"
免费,miǎnfèi,miễn phí
飞机,fēijī,máy bay
宿舍,sùshè,kí túc xá
毕业,bì yè,tốt nghiệp
实习,shíxí,thực tập
简历,jiǎnlì,sơ yếu lí lịch
面试,miànshì,phỏng vấn
完,wán,xong
同意,tóngyì,đồng ý
如果,rúguǒ,"nếu như, nếu"
通过,tōng guò,"qua, thông qua"
死,sǐ,chết
场,chǎng,"cuộc, trận, đợt (lượng từ)"
满意,mǎnyì,"hài lòng, như mong muốn"
竞争,jìngzhēng,cạnh tranh
厉害,lìhai,"ghê gớm, giỏi giang"
(电子)邮件,(diànzǐ) yóujiàn,thư (điện tử)
通知,tōngzhī,thông báo
希望,xīwàng,hy vọng
早就……了,zǎo jiù...... le,"đã... lâu rồi, ... lâu rồi"
祝,zhù,chúc
邮局,yóujú,bưu điện
快递,kuàidì,chuyển phát nhanh
寄,jì,gửi
快递员,kuàidìyuán,bưu tá
取,qǔ,"lấy, rút"
包,bāo,gói
检查,jiǎnchá,kiểm tra
大概,dàgài,"khoảng, đại khái"
公斤,gōngjīn,cân
重,zhòng,nặng
女士,nǚshì,"bà, cô, chị (xưng hô lịch sự)"
楼,lóu,"tầng, tòa"
修,xiū,sửa
封,fēng,bức (lượng từ của thư)
信,xìn,thư
信箱,xìnxiāng,hòm thư
放,fàng,"để, đặt"
报纸,bàozhǐ,báo
杂志,zázhì,tạp chí
拿,ná,cầm
入住,rùzhù,nhận phòng
住,zhù,"ở, sống"
预订,yùdìng,đặt trước
订,dìng,đặt
早餐,zǎocān,bữa sáng
单人间,dānrénjiān,phòng đơn
押金,yājīn,tiền đặt cọc
收据,shōujù,biên lai
退房,tuì fáng,trả phòng
宾馆,bīnguǎn,nhà khách
密码,mìmǎ,mật khẩu
桌子,zhuōzi,bàn
券,quàn,phiếu
餐厅,cāntīng,nhà hàng
按照,ànzhào,"theo, dựa vào"
规定,guīdìng,quy định
延长,yáncháng,kéo dài
现金,xiànjīn,tiền mặt
还,huán,trả lại
地图,dìtú,bản đồ
张,zhāng,"tấm, tờ"
光临,guānglín,ghé thăm
租,zū,thuê
房租,fángzū,tiền thuê nhà
室,shì,"phòng, buồng"
厅,tīng,"phòng khách, sảnh"
以上,yǐshàng,trở lên
房子,fángzi,nhà
套,tào,"căn, bộ"
家具,jiājù,đồ nội thất
家用电器,jiāyòng diànqì,đồ điện gia dụng
陪,péi,"cùng, với"
房产,fángchǎn,bất động sản
合同,hétong,hợp đồng
刚才,gāngcái,"lúc nãy, vừa mới"
电冰箱,diànbīngxiāng,tủ lạnh
洗衣机,xǐyījī,máy giặt
空调,kōngtiáo,điều hòa
旧,jiù,cũ
美景,měijǐng,cảnh đẹp
签,qiān,kí
不过,búguò,"tuy nhiên, nhưng"
全家福,quánjiāfú,ảnh gia đình
抽烟,chōu yān,hút thuốc
烟,yān,thuốc lá
所以,suǒyǐ,cho nên
站,zhàn,đứng
一模一样,yìmú-yíyàng,giống hệt nhau
仔细,zǐxì,"kĩ, cẩn thận"
戴,dài,"đeo (găng tay, kính,...)"
眼镜,yǎnjìng,kính
裙子,qúnzi,váy
沙发,shāfā,ghế sô pha
旁边,pángbiān,bên cạnh
小时候,xiǎoshíhou,hồi nhỏ
猜,cāi,đoán
花儿,huār,bông hoa
开心,kāixīn,vui vẻ
笑,xiào,cười
巧克力,qiǎokèlì,sô cô la
总是,zǒngshì,luôn luôn
打扮,dǎban,"ăn mặc, trang điểm"
美元,Měiyuán,Đô la Mỹ
换,huàn,đổi
成,chéng,thành
人民币,Rénmínbì,Nhân dân tệ
填(写),tián(xiě),điền
表(格),biǎo(gé),tờ khai
它,tā,"nó (đại từ, dùng để chỉ đồ vật, con vật...)"
翻译,fānyì,"phiên dịch, người phiên dịch"
汇率,huìlǜ,tỉ giá
护照,hùzhào,hộ chiếu
借记卡,jièjìkǎ,thẻ ghi nợ
信用卡,xìnyòngkǎ,thẻ tín dụng
地址,dìzhǐ,địa chỉ
修改,xiūgǎi,sửa đổi
改,gǎi,sửa
手续费,shǒuxùfèi,phí làm thủ tục
手续,shǒuxù,thủ tục
糟糕,zāogāo,gay go
钱包,qiánbāo,ví tiền
包,bāo,"túi, cặp"
存,cún,"gửi (tiền, xe, đồ đạc...)"
安检,ānjiǎn,kiểm tra an ninh
打火机,dǎhuǒjī,bật lửa
扔,rēng,vứt
垃圾箱,lājīxiāng,thùng rác
垃圾,lājī,rác
箱,xiāng,"thùng, hòm"
登机牌,dēngjīpái,thẻ lên máy bay
旅行箱,lǚxíngxiāng,vali du lịch
托盘,tuōpán,"khay, mâm"
盘,pán,đĩa
外衣,wàiyī,áo khoác
脱,tuō,cởi (quần áo)
关,guān,"đóng, tắt"
身份证件,shēnfèn zhèngjiàn,giấy tờ cá nhân
打开,dǎ kāi,mở
水果刀,shuǐguǒdāo,dao gọt hoa quả
刀,dāo,dao
倒霉,dǎoméi,"đen đủi, xui xẻo"
死机,sǐ jī,"sập nguồn, không khởi động được"
病毒,bìngdú,vi-rút
感染,gǎnrǎn,lây nhiễm
杀毒,shā dú,diệt vi-rút
掉,diào,"hết, sạch"
文件,wénjiàn,tài liệu
删除,shānchú,xóa bỏ
U盘,U pán,USB
严重,yánzhòng,nghiêm trọng
重要,zhòngyào,quan trọng
退休,tuìxiū,"về hưu, nghỉ hưu"
着急,zháojí,lo lắng
开通,kāitōng,mở (tài khoản online)
偷,tōu,trộm
放心,fàng xīn,yên tâm
行李,xíngli,hành lí
超重,chāo zhòng,thừa cân (hành lí)
电子秤,diànzǐchèng,cân điện tử
秤,chèng,cái cân
称,chēng,cân
出发,chūfā,xuất phát
航班,hángbān,chuyến bay
来得及,láidejí,kịp
送,sòng,"tiễn, tặng"
机场,jīchǎng,sân bay
美好,měihǎo,tốt đẹp
回忆,huíyì,hồi ức
舍不得,shěbude,không nỡ
离开,lí kāi,rời khỏi
难过,nánguò,buồn
联系,liánxì,"liên hệ, liên lạc"
一路平安,yílù píng'ān,thượng lộ bình an
